Latitude :   29.17
Longitude:  -18.50
Date: 12/11/2020
Time; 12:57:48
PrDM;        Sal00;        T090C
 376.00;      35.7803;      13.2912
 378.00;      35.7762;      13.2639
 380.00;      35.7743;      13.2423
 382.00;      35.7709;      13.2187
 384.00;      35.7657;      13.1768
 386.00;      35.7648;      13.1665
 388.00;      35.7592;      13.1250
 390.00;      35.7571;      13.1087
 392.00;      35.7553;      13.0899
 394.00;      35.7547;      13.0845
 396.00;      35.7531;      13.0717
 398.00;      35.7524;      13.0649
 400.00;      35.7486;      13.0405
 402.00;      35.7457;      13.0159
 404.00;      35.7380;      12.9693
 406.00;      35.7374;      12.9524
 408.00;      35.7353;      12.9408
 410.00;      35.7292;      12.9045
 412.00;      35.7260;      12.8702
 414.00;      35.7248;      12.8583
 416.00;      35.7208;      12.8298
 418.00;      35.7184;      12.8173
 420.00;      35.7148;      12.7981
 422.00;      35.7162;      12.7799
 424.00;      35.7146;      12.7616
 426.00;      35.7123;      12.7479
 428.00;      35.7106;      12.7293
 430.00;      35.7102;      12.7234
 432.00;      35.7136;      12.7244
 434.00;      35.7152;      12.7271
 436.00;      35.7152;      12.7243
 438.00;      35.7123;      12.6964
 440.00;      35.7103;      12.6759
 442.00;      35.7078;      12.6610
 444.00;      35.7053;      12.6398
 446.00;      35.7001;      12.6031
 448.00;      35.6993;      12.5949
 450.00;      35.6976;      12.5818
 452.00;      35.6948;      12.5529
 454.00;      35.6933;      12.5338
 456.00;      35.6938;      12.5268
 458.00;      35.6927;      12.5145
 460.00;      35.6914;      12.5062
 462.00;      35.6895;      12.4929
 464.00;      35.6865;      12.4718
 466.00;      35.6861;      12.4645
 468.00;      35.6846;      12.4557
 470.00;      35.6834;      12.4330
 472.00;      35.6816;      12.4200
 474.00;      35.6803;      12.4051
 476.00;      35.6780;      12.3797
 478.00;      35.6768;      12.3685
 480.00;      35.6767;      12.3626
 482.00;      35.6753;      12.3550
 484.00;      35.6733;      12.3316
 486.00;      35.6701;      12.3050
 488.00;      35.6685;      12.2851
 490.00;      35.6665;      12.2702
 492.00;      35.6636;      12.2415
 494.00;      35.6620;      12.2185
 496.00;      35.6588;      12.2001
 498.00;      35.6560;      12.1666
 500.00;      35.6528;      12.1398
 502.00;      35.6521;      12.1266
 504.00;      35.6496;      12.1049
 506.00;      35.6487;      12.0962
 508.00;      35.6470;      12.0837
 510.00;      35.6431;      12.0522
 512.00;      35.6397;      12.0240
 514.00;      35.6383;      12.0077
 516.00;      35.6366;      11.9922
 518.00;      35.6347;      11.9761
 520.00;      35.6318;      11.9360
 522.00;      35.6309;      11.9303
 524.00;      35.6293;      11.9068
 526.00;      35.6262;      11.8743
 528.00;      35.6238;      11.8383
 530.00;      35.6236;      11.8299
 532.00;      35.6227;      11.8184
 534.00;      35.6223;      11.8059
 536.00;      35.6208;      11.7944
