Pression SBE41,Temperature SBE41,Salinite SBE41,Pression SBE61,Temperature SBE61,Salinite SBE61,Pression RBR,Temperature RBR,Salinite RBR,Temperature interne RBR
2186.5,3857,35060,2183.4,3857,35050,nan,nan,nan,nan
2171.5,3896,35063,2168.6,3897,35052,2175.1,3898,35044,3903
2156.5,3931,35068,2153.5,3932,35057,2160.1,3933,35050,3945
2141.4,3955,35070,2138.4,3956,35059,2144.9,3957,35053,4030
2126.4,3983,35074,2123.4,3984,35063,2129.9,3985,35056,4030
2111.3,4021,35078,2108.3,4021,35067,2114.7,4023,35060,3945
2096.2,4057,35082,2093.2,4059,35071,2099.6,4059,35064,4115
2081.2,4102,35088,2078.3,4103,35076,2084.5,4104,35070,4115
2066.1,4118,35090,2063.2,4119,35078,2069.4,4120,35072,4115
2051.1,4154,35094,2048.1,4155,35082,2054.4,4156,35076,4115
2036,4190,35098,2033.2,4191,35087,2039.3,4192,35081,4199
2020.9,4224,35103,2018,4225,35091,2024.3,4226,35085,4157
2005.9,4261,35107,2003,4262,35096,2009.2,4263,35089,4241
1990.8,4295,35111,1987.9,4297,35099,1994.1,4297,35094,4199
1975.8,4326,35114,1973,4327,35103,1979.1,4327,35097,4325
1960.7,4363,35119,1957.9,4364,35108,1964.1,4365,35102,4367
1945.6,4401,35123,1943,4402,35112,1949,4403,35106,4367
1930.6,4450,35129,1927.9,4451,35118,1933.9,4452,35111,4409
1915.6,4487,35133,1913,4487,35122,1918.9,4488,35116,4535
1900.5,4530,35138,1897.8,4531,35127,1903.8,4532,35121,4576
1885.5,4587,35144,1882.8,4587,35134,1888.7,4589,35128,4618
1870.4,4641,35151,1867.7,4642,35140,1873.6,4643,35134,4618
1855.2,4691,35158,1852.7,4691,35146,1858.6,4692,35141,4785
1840.1,4740,35165,1837.6,4741,35153,1843.4,4742,35147,4660
1824.9,4782,35167,1822.3,4783,35156,1828.2,4784,35151,4785
1809.9,4876,35180,1807.3,4876,35169,1813.1,4877,35161,4867
1794.9,4955,35190,1792.4,4957,35180,1798.2,4957,35174,4950
1779.5,5035,35202,1776.6,5036,35192,1782.3,5037,35186,5074
1764.5,5096,35209,1762,5098,35200,1767.7,5100,35194,5115
1749.3,5158,35218,1747,5160,35206,1752.6,5160,35202,5115
1734.3,5215,35224,1732,5217,35212,1737.6,5217,35207,5156
1719.3,5274,35231,1716.9,5275,35219,1722.5,5275,35214,5239
1704.2,5355,35241,1702,5356,35229,1707.5,5357,35224,5362
1689.2,5420,35251,1686.8,5421,35240,1692.4,5422,35235,5321
1674.1,5464,35255,1671.8,5464,35245,1677.3,5464,35241,5484
1658.9,5497,35262,1656.7,5498,35250,1662.2,5499,35246,5607
1643.8,5569,35271,1641.6,5570,35259,1647,5570,35254,5484
1628.7,5607,35278,1626.6,5609,35265,1632,5609,35261,5566
1613.7,5661,35285,1611.6,5661,35273,1616.9,5661,35269,5607
1598.6,5760,35299,1596.5,5760,35287,1601.8,5761,35283,5728
1583.6,5841,35310,1581.6,5841,35299,1586.9,5843,35293,5850
1568.6,5930,35322,1566.5,5931,35311,1571.8,5931,35306,5810
1553.5,6033,35338,1551.5,6034,35327,1556.8,6035,35322,6011
1538.4,6104,35349,1536.4,6106,35337,1541.7,6107,35333,6172
1523.4,6245,35368,1521.5,6247,35356,1526.7,6247,35349,6253
1508.4,6306,35376,1506.5,6307,35364,1511.7,6308,35361,6213
1493.4,6431,35392,1491.5,6431,35380,1496.7,6432,35375,6373
1478.2,6479,35397,1476.4,6479,35386,1481.4,6480,35381,6452
1463,6482,35391,1461.2,6483,35380,1466.3,6483,35377,6492
1448,6568,35402,1446.2,6568,35393,1451.2,6570,35389,6492
1433,6716,35427,1431.2,6717,35417,1436.3,6718,35410,6651
1417.9,6801,35436,1416.2,6801,35426,1421.2,6800,35421,6849
1402.9,6869,35444,1401.2,6869,35433,1406.2,6872,35430,6928
1387.8,6993,35462,1386.2,6993,35451,1391.1,6994,35448,6889
1372.7,7102,35478,1371,7097,35465,1375.9,7099,35462,7047
1357.6,7229,35493,1355.9,7230,35482,1360.8,7231,35479,7204
1342.5,7304,35501,1341,7306,35489,1345.8,7306,35488,7282
1327.5,7413,35511,1325.9,7414,35500,1330.7,7414,35496,7438
1312.4,7474,35518,1310.9,7476,35506,1315.7,7476,35504,7477
1297.4,7507,35518,1296,7508,35507,1300.7,7509,35505,7516
1282.4,7563,35525,1281,7565,35512,1285.7,7565,35510,7516
1267.4,7659,35537,1266,7658,35526,1270.6,7660,35521,7710
1252.3,7788,35552,1250.8,7788,35541,1255.6,7789,35539,7788
1237.3,7847,35556,1235.8,7848,35544,1240.5,7848,35544,7826
1222.1,7900,35560,1220.8,7900,35549,1225.4,7901,35547,7903
1207,7965,35565,1205.8,7966,35553,1210.3,7967,35552,8019
1191.9,8068,35574,1190.7,8069,35562,1195.2,8069,35560,8095
1176.7,8137,35580,1175.5,8139,35568,1180,8139,35567,8173
1161.6,8163,35575,1160.3,8164,35564,1164.8,8165,35560,8095
1146.4,8235,35578,1145.3,8236,35567,1149.7,8236,35565,8134
1131.2,8298,35581,1130.1,8298,35570,1134.4,8301,35568,8249
1116.1,8396,35583,1114.9,8397,35570,1119.4,8398,35570,8402
1101,8486,35592,1099.8,8487,35581,1104.2,8489,35578,8402
1085.8,8542,35590,1084.8,8543,35578,1089.1,8544,35578,8516
1070.7,8611,35588,1069.7,8613,35576,1073.9,8611,35576,8630
1055.6,8599,35574,1054.5,8600,35562,1058.8,8604,35562,8592
1040.5,8611,35563,1039.5,8612,35551,1043.8,8611,35552,8592
1025.4,8638,35553,1024.2,8639,35541,1028.6,8641,35540,8630
1010.3,8709,35552,1009.4,8710,35540,1013.5,8712,35539,8630
995.3,8764,35549,994.4,8765,35537,998.5,8766,35538,8706
980.3,8888,35561,979.5,8888,35549,983.6,8891,35547,8858
965.3,8902,35552,964.4,8903,35540,968.4,8904,35541,8858
950.2,8886,35535,949.4,8887,35524,953.4,8887,35525,8933
935.1,8965,35540,934.2,8966,35529,938.2,8967,35529,9009
920,9050,35540,919.1,9050,35529,923.1,9053,35525,9084
904.8,9113,35529,904.1,9115,35519,908,9114,35519,9084
889.8,9240,35540,889,9240,35529,892.9,9241,35529,9196
874.7,9388,35546,874,9389,35534,877.9,9389,35535,9309
859.7,9523,35547,858.9,9524,35535,862.7,9524,35536,9458
844.6,9626,35545,843.9,9627,35533,847.6,9628,35534,9533
829.4,9700,35548,828.8,9701,35536,832.4,9702,35537,9570
814.3,9785,35551,813.7,9787,35539,817.2,9787,35540,9681
799.2,9876,35543,798.7,9876,35532,802.1,9876,35533,9755
784.1,9987,35540,783.6,9988,35529,787,9988,35530,9866
769,10072,35540,768.6,10075,35529,771.9,10074,35530,10051
753.8,10160,35540,753.4,10160,35529,756.6,10160,35529,10051
