Pression SBE41,Temperature SBE41,Salinite SBE41,Pression SBE61,Temperature SBE61,Salinite SBE61,Pression RBR,Temperature RBR,Salinite RBR,Temperature interne RBR
2097,4036,35080,2094.1,4031,35069,nan,nan,nan,nan
2104.5,4017,35078,2101.4,4017,35067,2108.2,4019,35064,4073
2097,4035,35080,2094.1,4036,35069,2100.6,4037,35062,4073
2089.5,4049,35082,2086.5,4050,35070,2093.1,4051,35064,4073
2081.9,4063,35083,2079,4064,35072,2085.5,4065,35066,4115
2074.4,4080,35085,2071.5,4080,35074,2078,4082,35068,4030
2066.7,4097,35087,2063.9,4099,35076,2070.2,4100,35070,4115
2059.2,4108,35089,2056.2,4108,35078,2062.7,4110,35072,4157
2051.5,4124,35091,2048.6,4125,35079,2055,4127,35074,4073
2043.9,4145,35093,2040.9,4145,35082,2047.3,4147,35075,4199
2036.3,4171,35096,2033.4,4172,35085,2039.8,4173,35079,4115
2028.7,4191,35099,2025.8,4192,35088,2032.1,4193,35082,4283
2021,4212,35101,2018.1,4212,35090,2024.4,4214,35084,4199
2013.4,4224,35102,2010.5,4226,35091,2016.8,4226,35086,4199
2005.9,4248,35105,2003.1,4249,35094,2009.4,4250,35088,4199
1998.3,4276,35109,1995.5,4278,35097,2001.8,4279,35091,4199
1990.8,4291,35111,1988.1,4292,35098,1994.2,4293,35093,4199
1983.3,4303,35112,1980.5,4304,35102,1986.6,4305,35096,4283
1975.6,4324,35116,1972.8,4325,35103,1979.1,4325,35098,4283
1968,4351,35118,1965.2,4352,35106,1971.3,4353,35101,4325
1960.3,4376,35121,1957.5,4376,35109,1963.7,4377,35104,4325
1952.8,4387,35122,1949.9,4388,35111,1956.1,4390,35105,4451
1945.1,4412,35124,1942.3,4413,35113,1948.4,4413,35108,4409
1937.6,4425,35126,1934.9,4425,35115,1941,4427,35110,4451
1930.1,4440,35128,1927.3,4441,35116,1933.4,4441,35112,4409
1922.5,4467,35131,1919.8,4467,35120,1925.8,4469,35114,4493
1914.9,4495,35135,1912.2,4496,35123,1918.2,4496,35118,4409
1907.2,4532,35139,1904.5,4533,35128,1910.5,4534,35121,4493
1899.7,4546,35141,1897,4547,35129,1903,4548,35124,4493
1892.1,4565,35143,1889.4,4565,35131,1895.4,4567,35127,4618
1884.5,4591,35146,1881.8,4593,35135,1887.8,4592,35130,4618
1877,4609,35149,1874.4,4610,35137,1880.3,4611,35132,4618
1869.4,4623,35150,1866.7,4624,35138,1872.7,4625,35133,4618
1861.8,4641,35152,1859.1,4642,35140,1865.1,4643,35135,4660
1854.2,4664,35155,1851.6,4665,35143,1857.5,4666,35138,4576
1846.6,4685,35156,1844,4686,35145,1849.9,4687,35140,4743
1839,4709,35159,1836.4,4710,35148,1842.3,4711,35143,4743
1831.3,4734,35162,1828.6,4734,35151,1834.6,4735,35146,4701
1823.7,4790,35169,1821.1,4791,35157,1827,4792,35152,4701
1816.2,4827,35175,1813.6,4827,35163,1819.5,4829,35157,4743
1808.6,4848,35176,1806,4848,35165,1811.9,4849,35161,4826
1800.9,4862,35178,1798.4,4862,35167,1804.2,4864,35162,4785
1793.3,4910,35182,1790.6,4912,35173,1796.5,4913,35167,4950
1785.8,4961,35191,1783.2,4962,35181,1789,4963,35175,4909
1778,4986,35195,1775.6,4986,35183,1781.3,4987,35179,4950
1770.4,5007,35197,1768,5008,35186,1773.7,5009,35181,4909
1762.9,5029,35200,1760.5,5030,35188,1766.2,5031,35183,5074
1755.2,5056,35202,1752.8,5057,35190,1758.5,5058,35186,4950
1747.5,5074,35205,1745.1,5074,35195,1750.8,5075,35188,5074
1739.9,5137,35213,1737.5,5139,35201,1743.2,5138,35196,5198
1732.4,5190,35221,1730,5191,35210,1735.7,5192,35204,5156
1724.7,5226,35229,1722.4,5228,35216,1728,5227,35211,5280
1717.1,5276,35234,1714.8,5277,35222,1720.4,5277,35217,5239
1709.6,5288,35234,1707.2,5288,35223,1712.8,5289,35219,5198
1701.9,5312,35236,1699.6,5312,35225,1705.1,5313,35221,5321
