Pression SBE41,Temperature SBE41,Salinite SBE41,Pression SBE61,Temperature SBE61,Salinite SBE61,Pression RBR,Temperature RBR,Salinite RBR,Temperature interne RBR
2187.3,3929,35068,2184.1,3929,35057,nan,nan,nan,nan
2172.3,3944,35069,2169.1,3945,35057,2175.8,3946,35052,4030
2157.3,3985,35074,2154.2,3986,35062,2160.8,3987,35056,3903
2142.3,4005,35075,2139.2,4005,35064,2145.7,4007,35059,4073
2127.1,4030,35078,2124,4031,35067,2130.5,4032,35062,4030
2112.1,4070,35083,2109.1,4070,35072,2115.5,4071,35066,3988
2096.9,4090,35086,2093.8,4090,35075,2100.2,4092,35070,4073
2081.8,4128,35090,2078.7,4129,35079,2085.1,4130,35074,4199
2066.6,4152,35094,2063.7,4152,35082,2069.9,4154,35077,4115
2051.6,4185,35098,2048.5,4186,35086,2054.9,4187,35081,4283
2036.5,4238,35103,2033.4,4238,35092,2039.7,4239,35086,4283
2021.4,4267,35107,2018.4,4267,35096,2024.6,4269,35091,4325
2006.4,4295,35111,2003.4,4297,35099,2009.7,4298,35093,4199
1991.3,4316,35113,1988.2,4317,35102,1994.4,4318,35097,4283
1976.1,4360,35118,1973.2,4361,35107,1979.3,4362,35102,4325
1961,4407,35124,1958,4407,35112,1964.3,4409,35107,4409
1946,4433,35127,1943,4435,35115,1949.1,4435,35111,4451
1930.8,4468,35131,1928,4469,35120,1934,4470,35115,4493
1915.8,4521,35138,1912.9,4521,35126,1919,4522,35121,4493
1900.7,4588,35145,1898,4589,35134,1903.9,4590,35129,4660
1885.6,4648,35152,1882.8,4648,35141,1888.8,4649,35136,4576
1870.6,4690,35157,1867.9,4691,35145,1873.7,4691,35141,4660
1855.4,4754,35164,1852.7,4755,35153,1858.5,4756,35149,4701
1840.2,4804,35171,1837.5,4805,35160,1843.4,4806,35156,4743
1825,4856,35179,1822.3,4857,35168,1828.2,4858,35164,4826
1809.9,4915,35186,1807.2,4916,35175,1813.1,4917,35171,4950
1794.6,4993,35196,1792,4994,35184,1797.8,4994,35180,4909
1779.5,5060,35205,1777,5061,35193,1782.6,5061,35189,4992
1764.4,5111,35211,1761.9,5111,35201,1767.5,5111,35197,5033
1749.4,5150,35216,1746.8,5151,35205,1752.5,5152,35202,5198
1734.2,5184,35219,1731.7,5184,35208,1737.3,5186,35204,5156
1719.2,5271,35232,1716.7,5271,35221,1722.3,5272,35218,5280
1704.1,5312,35236,1701.6,5314,35224,1707.2,5313,35220,5403
1688.9,5373,35244,1686.5,5373,35234,1692.1,5374,35229,5444
1673.9,5436,35254,1671.5,5436,35243,1677,5437,35239,5362
1658.7,5465,35256,1656.4,5465,35245,1661.9,5466,35241,5403
1643.7,5521,35265,1641.4,5523,35253,1646.8,5522,35249,5607
1628.5,5590,35273,1626.2,5590,35262,1631.7,5591,35258,5525
1613.5,5635,35280,1611.3,5636,35268,1616.6,5637,35265,5688
1598.5,5727,35292,1596.2,5727,35280,1601.6,5728,35277,5647
1583.3,5819,35305,1581.1,5820,35296,1586.5,5819,35291,5810
1566.3,5926,35321,1563.7,5927,35310,1569,5928,35307,5890
1551.3,5995,35332,1549.1,5996,35320,1554.4,5996,35317,5931
1536.1,6064,35340,1534,6065,35328,1539.3,6066,35326,6132
1521,6219,35362,1518.9,6219,35349,1524.2,6220,35346,6172
1505.8,6280,35371,1503.8,6280,35358,1508.9,6281,35356,6293
1490.6,6298,35369,1488.7,6299,35357,1493.8,6300,35357,6253
1475.6,6398,35381,1473.7,6399,35369,1478.8,6399,35367,6373
1460.5,6541,35405,1458.6,6542,35395,1463.7,6543,35390,6452
1445.5,6610,35411,1443.5,6611,35400,1448.6,6613,35397,6572
