Pression SBE41,Temperature SBE41,Salinite SBE41,Pression SBE61,Temperature SBE61,Salinite SBE61,Pression RBR,Temperature RBR,Salinite RBR,Temperature interne RBR
2141.6,3934,35069,2138.5,3935,35057,nan,nan,nan,nan
2149,3915,35066,2146,3915,35056,2152.7,3918,35050,3903
2141.4,3930,35068,2138.4,3931,35056,2145.1,3932,35050,3903
2133.9,3939,35069,2130.8,3939,35058,2137.4,3941,35051,3903
2126.4,3946,35070,2123.5,3947,35058,2130,3949,35052,3861
2118.8,3964,35071,2115.8,3965,35060,2122.3,3966,35053,3945
2111.2,3981,35073,2108.3,3981,35062,2114.7,3983,35056,4073
2103.6,3996,35075,2100.6,3997,35064,2107.1,3998,35058,3988
2096,4010,35077,2093.1,4010,35066,2099.6,4011,35059,4073
2088.5,4035,35080,2085.6,4036,35068,2091.9,4037,35062,3988
2081,4046,35081,2078,4048,35069,2084.4,4048,35064,3945
2073.4,4065,35084,2070.4,4066,35072,2076.8,4067,35065,4073
2065.9,4083,35084,2062.9,4084,35074,2069.2,4085,35068,4073
2058.3,4098,35087,2055.4,4099,35075,2061.7,4100,35070,4073
2050.8,4111,35088,2048,4111,35077,2054.2,4113,35071,4030
2043.3,4138,35092,2040.4,4139,35081,2046.7,4140,35075,4199
2035.7,4140,35091,2032.7,4141,35080,2039,4143,35075,4241
2028,4162,35094,2025.1,4162,35082,2031.4,4164,35077,4115
2020.5,4215,35099,2017.8,4216,35088,2023.8,4218,35082,4115
2012.9,4226,35102,2010,4227,35091,2016.2,4229,35086,4241
2005.3,4235,35102,2002.4,4236,35091,2008.6,4237,35085,4199
1997.7,4245,35103,1994.9,4246,35092,2001,4247,35086,4241
1990.2,4280,35107,1987.5,4280,35097,1993.6,4282,35090,4241
1982.7,4290,35107,1979.8,4291,35098,1986,4296,35091,4325
1975.1,4303,35109,1972.3,4305,35096,1978.5,4304,35092,4325
1967.6,4313,35111,1964.8,4314,35100,1970.9,4315,35094,4283
1959.9,4338,35115,1957.2,4338,35102,1963.3,4340,35096,4325
1952.4,4352,35115,1949.7,4353,35104,1955.7,4355,35099,4325
1944.9,4369,35117,1942.1,4372,35105,1948.1,4370,35100,4367
1937.2,4380,35119,1934.5,4381,35108,1940.5,4383,35102,4409
1929.7,4429,35125,1927,4430,35114,1933.1,4431,35108,4325
1922.1,4440,35127,1919.3,4440,35116,1925.4,4442,35111,4409
1914.5,4455,35129,1911.7,4456,35118,1917.7,4457,35113,4409
1906.8,4487,35134,1904,4487,35122,1910,4489,35116,4451
1899.1,4512,35137,1896.4,4513,35126,1902.4,4514,35120,4576
1891.5,4551,35141,1888.8,4552,35130,1894.8,4553,35124,4493
1884,4566,35144,1881.3,4567,35132,1887.3,4568,35127,4535
1876.4,4585,35146,1873.8,4586,35134,1879.8,4587,35129,4576
1868.9,4612,35148,1866.3,4613,35137,1872.2,4613,35131,4535
1861.3,4636,35151,1858.7,4637,35139,1864.6,4638,35134,4535
1853.8,4658,35153,1851.3,4659,35142,1857.1,4660,35137,4701
1846.3,4678,35156,1843.8,4678,35145,1849.6,4679,35140,4660
1838.8,4711,35160,1836.2,4712,35148,1842,4712,35143,4785
1831.2,4724,35162,1828.6,4725,35150,1834.4,4725,35146,4660
1823.6,4741,35164,1821.1,4742,35152,1826.9,4743,35147,4701
1816,4764,35167,1813.5,4765,35155,1819.3,4766,35150,4701
1808.4,4801,35171,1805.8,4802,35160,1811.7,4803,35155,4785
1800.8,4817,35172,1798.3,4818,35161,1804,4819,35157,4826
1793.2,4878,35181,1790.7,4879,35169,1796.5,4880,35164,4867
1785.6,4935,35188,1783.2,4936,35176,1788.9,4938,35171,4867
1778.1,4961,35191,1775.7,4962,35180,1781.3,4962,35175,4909
1770.6,4992,35196,1768.2,4993,35185,1773.8,4995,35180,4950
1763.1,5047,35205,1760.7,5047,35193,1766.3,5048,35188,4992
1755.5,5058,35207,1753.1,5060,35193,1758.7,5060,35189,5033
1747.9,5090,35209,1745.6,5092,35198,1751.2,5091,35193,5156
1740.4,5122,35213,1738,5123,35202,1743.6,5124,35198,5074
1732.8,5175,35221,1730.4,5174,35210,1736,5176,35205,5198
1725.3,5221,35228,1722.9,5219,35215,1728.5,5221,35210,5156
1717.7,5233,35228,1715.3,5233,35217,1720.9,5234,35213,5239
1710.2,5255,35230,1707.9,5256,35219,1713.4,5257,35213,5239
1702.7,5293,35236,1700.4,5294,35224,1705.9,5294,35219,5239
1695.2,5346,35241,1692.9,5348,35230,1698.4,5347,35225,5403
1687.6,5364,35244,1685.3,5364,35233,1690.8,5365,35229,5321
1680.1,5391,35247,1677.8,5392,35235,1683.3,5393,35232,5362
1672.5,5446,35255,1670.2,5448,35243,1675.8,5448,35238,5444
1664.9,5497,35261,1662.8,5497,35250,1668.2,5498,35245,5444
1657.4,5555,35269,1655.1,5555,35258,1660.6,5556,35253,5484
1649.8,5567,35272,1647.6,5568,35260,1653,5569,35256,5444
1642.2,5605,35280,1640.2,5605,35266,1645.5,5608,35262,5607
1634.6,5669,35286,1632.4,5669,35275,1637.8,5669,35270,5607
1627,5699,35291,1624.8,5699,35279,1630.1,5701,35275,5607
1619.4,5735,35296,1617.3,5737,35285,1622.7,5735,35281,5810
1611.9,5781,35303,1609.7,5782,35291,1615.1,5782,35288,5647
1604.3,5813,35307,1602.1,5815,35297,1607.5,5815,35292,5728
1596.7,5870,35317,1594.7,5870,35306,1599.9,5872,35297,5890
1589.1,5899,35318,1587,5898,35307,1592.3,5898,35303,5850
1581.6,5935,35324,1579.5,5935,35313,1584.8,5936,35309,5890
1574.1,5960,35327,1572,5961,35316,1577.3,5963,35312,6011
1566.5,6013,35333,1564.6,6014,35321,1569.8,6015,35317,5971
1559,6053,35337,1556.9,6053,35326,1562.2,6056,35322,6011
1551.4,6100,35345,1549.4,6100,35333,1554.6,6102,35329,6172
1543.6,6121,35348,1541.7,6121,35336,1546.9,6122,35333,6172
1536,6150,35352,1534.1,6151,35340,1539.2,6152,35337,6213
1528.5,6185,35356,1526.5,6187,35343,1531.7,6186,35340,6172
1520.7,6208,35359,1518.8,6207,35348,1524,6210,35345,6293
1513.2,6272,35365,1511.3,6272,35353,1516.4,6273,35351,6293
1505.6,6317,35370,1503.7,6317,35358,1508.9,6318,35355,6213
1498,6351,35375,1496.1,6352,35363,1501.2,6353,35359,6293
1490.3,6427,35384,1488.3,6426,35371,1493.6,6428,35368,6293
1482.7,6506,35398,1480.9,6506,35386,1486,6508,35380,6413
1475.2,6551,35401,1473.3,6552,35390,1478.4,6553,35387,6572
1467.6,6579,35404,1465.8,6580,35393,1470.9,6580,35390,6572
1460,6628,35411,1458.3,6628,35398,1463.3,6627,35396,6691
1452.5,6687,35416,1450.7,6688,35405,1455.7,6690,35401,6691
1444.9,6766,35428,1443.1,6767,35416,1448.1,6767,35412,6731
1437.3,6804,35433,1435.6,6803,35422,1440.6,6805,35418,6810
1429.7,6885,35449,1427.9,6886,35435,1432.9,6890,35430,6731
1422.1,6913,35450,1420.4,6914,35438,1425.3,6915,35436,6849
1414.6,6966,35459,1412.9,6968,35451,1417.8,6966,35442,6889
1406.9,7005,35461,1405.3,7006,35450,1410.2,7007,35448,6968
1399.3,7043,35466,1397.6,7043,35455,1402.5,7044,35452,6968
1391.7,7086,35476,1390.1,7086,35461,1395,7087,35458,7086
1384,7163,35485,1382.4,7165,35472,1387.3,7165,35469,7204
1376.4,7220,35492,1374.8,7220,35481,1379.7,7221,35478,7204
